"denom","timestamp","price","marketCap","dayVolume"
"acudos",1659970800000,0.0102759,34823900,588969
"acudos",1659974400000,0.0103343,34873100,624277
"acudos",1659978000000,0.0103182,34972400,649974
"acudos",1659981600000,0.0102946,34928000,653804
"acudos",1659985200000,0.0101765,34491000,665666
"acudos",1659988800000,0.00991713,33614900,669183
"acudos",1659992400000,0.00990551,33574300,672391
"acudos",1659996000000,0.0098186,33336400,675989
"acudos",1659999600000,0.00981064,33196300,690771
"acudos",1660003200000,0.00978481,33126700,695545
"acudos",1660006800000,0.00975043,33051600,697045
"acudos",1660010400000,0.00974666,33026200,700046
"acudos",1660014000000,0,0,0
"acudos",1660017600000,0,0,0
"acudos",1660021200000,0,0,0
"acudos",1660024800000,0,0,0
"acudos",1660028400000,0,0,0
"acudos",1660032000000,0,0,0
"acudos",1660035600000,0,0,0
"acudos",1660039200000,0,0,0
"acudos",1660042800000,0,0,0
"acudos",1660046400000,0.00930528,31529500,710455
"acudos",1660050000000,0.00939617,31850700,538987
"acudos",1660053600000,0.00937185,31813100,465304
"acudos",1660057200000,0.00928194,31608800,443353
"acudos",1660060800000,0.00933367,31679900,422764
"acudos",1660064400000,0.00932758,31680700,413738
"acudos",1660068000000,0.00946076,32123400,416463
"acudos",1660071600000,0.00945307,32109200,406343
"acudos",1660075200000,0.00942361,32050000,401865
"acudos",1660078800000,0.00918906,31440300,403578
"acudos",1660082400000,0.00922305,31313300,401872
"acudos",1660086000000,0.00934967,31748100,397576
"acudos",1660089600000,0.00926997,31475600,388451
"acudos",1660093200000,0.00926118,31430200,392440
"acudos",1660096800000,0.00924464,31428800,390453
"acudos",1660100400000,0.00924231,31375500,390069
"acudos",1660104000000,0.00924931,31413300,380153
"acudos",1660107600000,0.00907829,30824800,398606
"acudos",1660111200000,0.00895292,30537800,402552
"acudos",1660114800000,0.00899196,30507300,418247
"acudos",1660118400000,0.0089316,30783700,424898
"acudos",1660122000000,0.00886955,30451800,418947
"acudos",1660125600000,0.00888678,30511600,428177
"acudos",1660129200000,0.00887756,30484200,424280
"acudos",1660132800000,0.00884805,30410300,418686
"acudos",1660136400000,0.0089421,30696700,415098
"acudos",1660140000000,0.00949548,32575900,452544
"acudos",1660143600000,0.00946081,32778200,458911
"acudos",1660147200000,0.00958563,32874300,464940
"acudos",1660150800000,0.00956502,32856800,462389
"acudos",1660154400000,0.00960667,33187800,460179
"acudos",1660158000000,0.00965097,33145100,458696
"acudos",1660161600000,0.00967638,33252000,452408
"acudos",1660165200000,0.00958876,32920500,517352
"acudos",1660168800000,0.00946831,32494100,531150
"acudos",1660172400000,0.00934834,32084000,533635
"acudos",1660176000000,0.00955853,32953300,535780
"acudos",1660179600000,0.00945073,32460000,580231
"acudos",1660183200000,0.00932732,32167300,571842
"acudos",1660186800000,0.00944032,32425800,578615
"acudos",1660190400000,0.00943661,32365900,576055
"acudos",1660194000000,0.00940736,32287500,542343
